Airline,Seat_Comfort,Cabin_Staff_Service,Food___Beverages,Food___Beverages,Ground_Service,Inflight_Entertainment,Wifi___Connectivity,Value_For_Money
Saudi_Arabian_Airlines,3.0,3.1875,2.5,2.5,2.4375,2.3125,2.0625,2.75
SilkAir,2.5714285714285716,3.4761904761904763,2.5238095238095237,2.5238095238095237,3.142857142857143,2.0952380952380953,2.380952380952381,2.9047619047619047
Singapore_Airlines,4.225806451612903,4.709677419354839,3.903225806451613,3.903225806451613,4.161290322580645,4.193548387096774,4.0,4.064516129032258
Southwest_Airlines,2.4615384615384617,3.230769230769231,2.8461538461538463,2.8461538461538463,2.769230769230769,3.076923076923077,2.6923076923076925,2.769230769230769
SriLankan_Airlines,2.625,2.9375,2.6875,2.6875,2.5625,2.75,2.375,3.0
TAP_Portugal,2.4545454545454546,3.1818181818181817,2.3636363636363638,2.3636363636363638,2.727272727272727,2.1818181818181817,2.3636363636363638,2.3636363636363638
Thai_Airways,3.4375,3.5,3.3125,3.3125,2.75,2.875,2.375,3.1875
Thomson_Airways,2.5,3.0714285714285716,2.2857142857142856,2.2857142857142856,2.642857142857143,2.0714285714285716,1.6428571428571428,2.5714285714285716
Turkish_Airlines,3.238095238095238,3.3333333333333335,3.6666666666666665,3.6666666666666665,2.9047619047619047,3.5238095238095237,3.0,3.0476190476190474
Virgin_America,4.0,3.9166666666666665,3.5833333333333335,3.5833333333333335,4.0,3.75,3.5833333333333335,4.0
Vistara,4.0625,4.25,4.1875,4.1875,3.9375,3.9375,4.0,4.25
Xiamen_Airlines,3.6923076923076925,3.3846153846153846,3.1538461538461537,3.1538461538461537,3.5384615384615383,3.0,1.7692307692307692,3.6153846153846154
